arc,cardNumber,edition,sourceFilename,width,height,megapixels,byteCount,format,mode,highResolution,sha256
01,1,color,Card001x4.jpg,4096,6292,25.772,5083741,JPEG,RGB,True,f669fb1b6799af2439d0af47073574d6cecb042ef856bc09f908cc1f73de04eb
01,1,mono,card-001--mono_deck.jpg,4096,6144,25.166,6626809,JPEG,RGB,True,b9b401a32e036f824fbc2c1445962e90199225d4217a2d00e8daf27b64a9c4ce
01,2,color,Card002x4.jpg,4096,6540,26.788,5280502,JPEG,RGB,True,ea99f94fe9a4bf5d2caeba8e22212035e241abe77d800519ad00ff9f9181ab46
01,2,mono,card-002--mono_deck.jpg,4096,6144,25.166,6414526,JPEG,RGB,True,638113a96e9f54f57b80a6cda41cff52f0a1305df86b67b384b9b236d65113e6
01,3,color,Card003x4.jpg,4096,6236,25.543,6327219,JPEG,RGB,True,1691367fb283463946c4f8c5d857fdd9d9afaed784ac565e4ba7f8a835720ce5
01,3,mono,card-003--mono_deck.jpg,4096,6144,25.166,6732728,JPEG,RGB,True,be5234dfed5024727a0c320ac343dfc7279a4ab074f8e651859857854d690d90
01,4,color,Card004x4.jpg,4096,6212,25.444,5194437,JPEG,RGB,True,0338748aa69a419fdd1352ab882e9da697f937a3a6ec44c5f4611c2573ec38a1
01,4,mono,card-004--mono_deck.jpg,4096,6144,25.166,5595288,JPEG,RGB,True,08ffa67a4ff8f531045c092775709d690bb1b0e639440949ff938bc39da1917e
01,5,color,Card005x4.jpg,4096,6244,25.575,4539286,JPEG,RGB,True,f4a5547c8e5c6c8b3f26b4fd19b531d5f234681145e489df6e6b9a0a806d1aba
01,5,mono,card-005--mono_deck.jpg,4096,6144,25.166,5724570,JPEG,RGB,True,af5148e9b77088889159f469e3770d2166baf3eee389add48a12e42ac640c08b
01,6,color,Card006x4.jpg,4096,6188,25.346,3805916,JPEG,RGB,True,67fc3355d5065c0928d189674079b86569be65840fd40b0d429b85b0055e4897
01,6,mono,card-006--mono_deck.jpg,4096,6144,25.166,4828783,JPEG,RGB,True,ec15a8b0eb43be1e998e0b85d177d7c60388bfec726f905fc4e09e93254ac46b
01,7,color,Card007x4.jpg,4096,6224,25.494,4566466,JPEG,RGB,True,adfb9ddc582374c1b1db375c7d9e80efc00b4926e858f03da75bde332582b9e9
01,7,mono,card-007--mono_deck.jpg,4096,6144,25.166,5305902,JPEG,RGB,True,32af4c416307d24e3d11b80fd4f8ef3376969d81c41667e129ff55a3a5625594
01,8,color,Card008x4.jpg,4096,6256,25.625,4032584,JPEG,RGB,True,b71210e3d0862100da366cf5549c9b204de2155ea51eab88ea3b4c36182c9ca0
01,8,mono,card-008--mono_deck.jpg,4096,6144,25.166,6042879,JPEG,RGB,True,45ee44986a896521f0c3d9c7b82ddb527df7fbee0228b8764fa69f45c33e713e
01,9,color,Card009x4.jpg,4096,6216,25.461,4614313,JPEG,RGB,True,dc45ed40321bcb0eebf7b0d9c1888aa219ec863805bd02e20225cc92c13c1d2e
01,9,mono,card-009--mono_deck.jpg,4096,6144,25.166,5764180,JPEG,RGB,True,285c0b51a09551d473b1a46243bc6d756e575ae44d79e75b0126c727396182bb
01,10,color,Card010x4.jpg,4096,6252,25.608,5926221,JPEG,RGB,True,0fbea19a06e7c05a6ebebb36cde06388d39bab0fc5f20ce3bf4a2e7b796566b9
01,10,mono,card-010--mono_deck.jpg,4096,6144,25.166,5067792,JPEG,RGB,True,0a6c9a8e7df0296284e63e4c909bf3b24df1e0e4b0acf5aa25a0d41dd0a6c8d6
01,11,color,Card011x4.jpg,4096,6152,25.199,4329354,JPEG,RGB,True,38247f6a94427735ab749a3bebeb44c23451a12c296e3c29de4ed1e7133f55d2
01,11,mono,card-011--mono_deck.jpg,4096,6144,25.166,6351735,JPEG,RGB,True,40a8e3891881fea8825b46e2aea4f45b79bd3b5b31740df18047f087a7cab2a9
01,12,color,Card012x4.jpg,4096,6244,25.575,4874721,JPEG,RGB,True,97591bf9b2637c9c50057ae3d9653e3e24a52a7076ed8171257c8e3b08e45b06
01,12,mono,card-012--mono_deck.jpg,4096,6144,25.166,6893202,JPEG,RGB,True,7acf3ef6672469468a36901c84fedbf28fc9e0e4dbefd418ad1aa373086bc960
02,13,color,card-013.jpg,4096,6144,25.166,5849881,JPEG,RGB,True,09f3a641e8847b1f0405a916639f95531d9e883c71ea677b47ca80d1c41b614e
02,13,mono,card-013--mono_deck.jpg,4096,6144,25.166,7440454,JPEG,RGB,True,68c941b75d58abbb718c8ad82eb7a4c11d898c5f54d2869c8023736364a006d3
02,14,color,card-014.jpg,4096,6144,25.166,6155154,JPEG,RGB,True,ce525c2fbcb7aa28cbe73a20799c417b2a7475f81eebafb10ed19b49acec4eb7
02,14,mono,card-014--mono_deck.jpg,4096,6144,25.166,5899976,JPEG,RGB,True,5313f1bfcb40f7013781faa9156e2ae4fbd6cc76e707a2fd318638fccbc0de13
02,15,color,card-015.jpg,4096,6144,25.166,7314996,JPEG,RGB,True,be61b722514f2cf5ab3a8baec87f1025c8aa8aa2c69f3fa54b68706209407c04
02,15,mono,card-015--mono_deck.jpg,4096,6144,25.166,4492863,JPEG,RGB,True,a85a0c1cbd7c1b4bebc1f0738035ecc079b3b489ce3b533c8d5ab375c59a6c49
02,16,color,card-016.jpg,4096,6144,25.166,5398089,JPEG,RGB,True,9d314799c17c7ac52dadf9204dbe85288f616d5a93a262957ab460351e230004
02,16,mono,card-016--mono_deck.jpg,4096,6144,25.166,5910657,JPEG,RGB,True,183f03e0122f61dc1b167a6648b57a4d7c25640bc10f9c654c735c68d8a64df0
02,17,color,card-017.jpg,4096,6144,25.166,3896019,JPEG,RGB,True,afae01e2abe3dc27ed3ab495e44ed3f4d8831338c1a733e71987fd81c4dd105a
02,17,mono,card-017--mono_deck.jpg,4096,6144,25.166,8381255,JPEG,RGB,True,28c4176c56b92d76dd88b413e17d4c763f740d6d49ac85b4618da51442219d28
